name,category,latitude,longitude
Splash 1,bar,15.274540118847362,74.27042858384594
Splash 2,cafe,15.498658484197037,73.79361118426546
Vibes 3,bar,14.958083612168199,74.21970568746497
Greenmart 4,bar,15.608072577796046,73.71235069657749
Vibes 5,bar,15.732442640800421,73.82740346640696
Greenmart 6,hotel,15.083404509853434,73.88254534577572
Splash 7,cafe,15.331945018642116,73.87473748411882
Vibes 8,cafe,15.039493860652042,73.87528678912113
Splash 9,bar,15.356069984217037,74.1711055768358
Splash 10,hotel,15.414234438413612,74.05544874131722
Splash 11,kirana,15.50754485190144,73.80231447421238
Greenmart 12,kirana,15.848885537253334,74.27937921984473
Vibes 13,bar,15.20461376917337,73.75860326840383
Sunlight 14,bar,15.340152493739602,73.77322294090688
Vibes 15,kirana,14.934388521115219,74.24559224124727
Greenmart 16,kirana,15.562522284353982,73.88702664565365
Splash 17,kirana,15.44671027934328,73.81091267331531
Greenmart 18,bar,15.675132823361114,74.26369936493852
Vibes 19,kirana,15.497899978811086,74.25312454101386
Vibes 20,hotel,15.095982862419145,73.72713637334633
Sunlight 21,bar,15.288677289689483,73.86280941906433
Vibes 22,hotel,15.25675332669359,73.86856070581243
Sunlight 23,hotel,15.040924224974763,74.18131818845242
Vibes 24,bar,15.886886936600519,74.16334686157799
Sunlight 25,bar,14.905522117123603,74.1892768570729
Sunlight 26,kirana,15.629007168040987,74.16276220801157
Splash 27,hotel,15.258465728544273,73.76952143571508
Vibes 28,cafe,15.523298126827559,73.89853881491159
Splash 29,bar,15.210982321715662,73.89510999321605
Sunlight 30,cafe,15.537557471355214,74.2323276455458
Sunlight 31,hotel,15.019594245938302,74.1279468723338
Splash 32,cafe,15.461277197569496,74.16258030797273
Greenmart 33,bar,15.422732829381994,73.95652461101513
Splash 34,hotel,15.007891426993305,73.71885751141204
Greenmart 35,hotel,15.214355981076327,74.00514241469882
Splash 36,hotel,15.149292229148875,73.94622975382138
Splash 37,cafe,15.128798165491624,73.74618794589728
Sunlight 38,kirana,15.061221287254005,74.25781859140554
Vibes 39,bar,15.533403756510424,74.22287635411263
Splash 40,bar,15.086570058886036,74.23553539909399
Splash 41,kirana,15.707440155164063,74.2376547799541
Greenmart 42,hotel,15.010051924527676,73.83676109752517
Splash 43,kirana,15.718014765922494,74.2164383499538
Sunlight 44,hotel,15.410747302577565,73.95044660188927
Splash 45,cafe,15.019865367333683,73.90256910284218
Sunlight 46,bar,15.223202932020756,74.01127437304602
Vibes 47,bar,15.263629602379295,74.28306924963258
Sunlight 48,hotel,15.151782295825365,73.99834910353543
Sunlight 49,kirana,15.184840494377468,73.72213216841273
Sunlight 50,bar,15.402679023228862,73.73088725075
Greenmart 51,hotel,15.808265885966653,73.84373713440019
Vibes 52,cafe,15.389452760277564,74.29139027246636
Splash 53,hotel,15.572135547405878,74.15697176919723
Vibes 54,kirana,15.62821634861186,73.92066987963155
Vibes 55,bar,15.533529710760895,74.02146481044485
Greenmart 56,bar,15.735302495589238,73.89246803898304
Splash 57,bar,14.940775141554765,74.05453576591295
Splash 58,bar,14.916587828927856,74.00725583497957
Sunlight 59,bar,15.54517279040945,73.804619857403
Sunlight 60,cafe,15.286735346300539,74.26203799324203
Splash 61,cafe,15.241066351050259,73.76808411274436
Vibes 62,bar,15.777339353380981,73.8547649766291
Vibes 63,hotel,15.717222200201217,74.03312048695967
Vibes 64,hotel,15.141852290900452,73.75586166068354
Sunlight 65,hotel,15.80041805716333,74.07986087436396
Splash 66,bar,15.249209574612662,74.13557340732214
Vibes 67,bar,15.787086424265118,74.16792532751457
Greenmart 68,bar,14.98413996499505,73.79697722845677
Greenmart 69,hotel,15.50642905965959,73.70551823096999
Vibes 70,kirana,15.563501769108056,73.70303695030773
Vibes 71,hotel,15.448733789366587,74.11513711861562
Sunlight 72,kirana,15.12426930946056,74.12730753280852
Vibes 73,bar,15.225399698159269,74.14789484307082
Sunlight 74,bar,15.749223410494178,74.09456773538021
Splash 75,kirana,14.993674767828093,73.92062948183566
Sunlight 76,cafe,15.143989643379085,74.28380633285147
Greenmart 77,hotel,15.792046555177114,74.07868317559836
Vibes 78,hotel,15.402637093105193,74.04614233077581
Splash 79,bar,15.095242987798045,74.1334712691569
Sunlight 80,bar,14.924315966431454,74.0872833775443
Sunlight 81,kirana,15.840458584352914,74.27235714620154
Vibes 82,hotel,15.270158700255445,73.70927396991732
Splash 83,bar,15.328184148317314,74.2799928914262
Sunlight 84,bar,15.75300945546736,73.87666933524176
Vibes 85,kirana,15.751136671516857,73.89015320309377
Greenmart 86,cafe,15.45680126245835,74.26169286449647
Vibes 87,cafe,15.470061170089366,73.75830589626247
Splash 88,kirana,15.890053850104264,73.78405040914191
Sunlight 89,hotel,15.777373071927956,74.14446117065252
Sunlight 90,kirana,15.60248408398711,73.91569469073185
Sunlight 91,bar,15.709361155478515,74.18606803680751
Sunlight 92,bar,15.813240552556472,74.00680543931657
Vibes 93,kirana,15.698295178966776,74.08997835846665
Splash 94,cafe,15.695792669436102,74.23400320509053
Splash 95,cafe,15.275582952639944,73.75638916390453
Splash 96,kirana,14.935942273796742,73.97935881087948
Greenmart 97,hotel,15.186541252128285,74.0544999563414
Greenmart 98,cafe,14.937348188749215,74.19356033639579
Sunlight 99,bar,15.027060512651886,74.01334595603288
Vibes 100,kirana,15.115821027496844,74.0737342854914
